id,date,temperature,created_at,updated_at,deleted_at
1,1599976800,299.4200134277344,2020-09-13 06:53:07.234554+00,2020-09-13 06:53:07.234554+00,
2,1599980400,300.3599853515625,2020-09-13 06:53:07.334452+00,2020-09-13 06:53:07.334452+00,
3,1599984000,300.6400146484375,2020-09-13 06:53:07.348231+00,2020-09-13 06:53:07.348231+00,
4,1599987600,300.2300109863281,2020-09-13 06:53:07.359559+00,2020-09-13 06:53:07.359559+00,
5,1599991200,299.94000244140625,2020-09-13 06:53:07.381565+00,2020-09-13 06:53:07.381565+00,
6,1599994800,299.55999755859375,2020-09-13 06:53:07.393938+00,2020-09-13 06:53:07.393938+00,
7,1599998400,299.4700012207031,2020-09-13 06:53:07.406117+00,2020-09-13 06:53:07.406117+00,
8,1600002000,299.6400146484375,2020-09-13 06:53:07.416047+00,2020-09-13 06:53:07.416047+00,
9,1600005600,299.79998779296875,2020-09-13 06:53:07.437673+00,2020-09-13 06:53:07.437673+00,
10,1600009200,299.8599853515625,2020-09-13 06:53:07.443714+00,2020-09-13 06:53:07.443714+00,
11,1600012800,299.4800109863281,2020-09-13 06:53:07.450957+00,2020-09-13 06:53:07.450957+00,
12,1600016400,298.8399963378906,2020-09-13 06:53:07.457338+00,2020-09-13 06:53:07.457338+00,
13,1600020000,298.54998779296875,2020-09-13 06:53:07.463656+00,2020-09-13 06:53:07.463656+00,
14,1600023600,298.4599914550781,2020-09-13 06:53:07.470624+00,2020-09-13 06:53:07.470624+00,
15,1600027200,298.29998779296875,2020-09-13 06:53:07.476548+00,2020-09-13 06:53:07.476548+00,
16,1600030800,297.95001220703125,2020-09-13 06:53:07.482571+00,2020-09-13 06:53:07.482571+00,
17,1600034400,298.1199951171875,2020-09-13 06:53:07.491321+00,2020-09-13 06:53:07.491321+00,
18,1600038000,298.17999267578125,2020-09-13 06:53:07.497584+00,2020-09-13 06:53:07.497584+00,
19,1600041600,298.4700012207031,2020-09-13 06:53:07.504816+00,2020-09-13 06:53:07.504816+00,
20,1600045200,299.2099914550781,2020-09-13 06:53:07.511334+00,2020-09-13 06:53:07.511334+00,
21,1600048800,300.0799865722656,2020-09-13 06:53:07.518061+00,2020-09-13 06:53:07.518061+00,
22,1600052400,300.2799987792969,2020-09-13 06:53:07.526416+00,2020-09-13 06:53:07.526416+00,
23,1600056000,301.0299987792969,2020-09-13 06:53:07.533266+00,2020-09-13 06:53:07.533266+00,
24,1600059600,301.0199890136719,2020-09-13 06:53:07.540138+00,2020-09-13 06:53:07.540138+00,
25,1600063200,301.1000061035156,2020-09-13 06:53:07.545987+00,2020-09-13 06:53:07.545987+00,
26,1600066800,300.5899963378906,2020-09-13 06:53:07.566932+00,2020-09-13 06:53:07.566932+00,
27,1600070400,300.010009765625,2020-09-13 06:53:07.572282+00,2020-09-13 06:53:07.572282+00,
28,1600074000,299.25,2020-09-13 06:53:07.57853+00,2020-09-13 06:53:07.57853+00,
29,1600077600,298.80999755859375,2020-09-13 06:53:07.585211+00,2020-09-13 06:53:07.585211+00,
30,1600081200,298.5,2020-09-13 06:53:07.5911+00,2020-09-13 06:53:07.5911+00,
31,1600084800,297.9200134277344,2020-09-13 06:53:07.597182+00,2020-09-13 06:53:07.597182+00,
32,1600088400,297.8599853515625,2020-09-13 06:53:07.603154+00,2020-09-13 06:53:07.603154+00,
33,1600092000,297.94000244140625,2020-09-13 06:53:07.610293+00,2020-09-13 06:53:07.610293+00,
34,1600095600,297.94000244140625,2020-09-13 06:53:07.623046+00,2020-09-13 06:53:07.623046+00,
35,1600099200,297.75,2020-09-13 06:53:07.630549+00,2020-09-13 06:53:07.630549+00,
36,1600102800,297.6099853515625,2020-09-13 06:53:07.63579+00,2020-09-13 06:53:07.63579+00,
37,1600106400,297.6600036621094,2020-09-13 06:53:07.640988+00,2020-09-13 06:53:07.640988+00,
38,1600110000,297.4100036621094,2020-09-13 06:53:07.646324+00,2020-09-13 06:53:07.646324+00,
39,1600113600,297.4100036621094,2020-09-13 06:53:07.652394+00,2020-09-13 06:53:07.652394+00,
40,1600117200,297.4200134277344,2020-09-13 06:53:07.661798+00,2020-09-13 06:53:07.661798+00,
41,1600120800,297.6600036621094,2020-09-13 06:53:07.667071+00,2020-09-13 06:53:07.667071+00,
42,1600124400,298.239990234375,2020-09-13 06:53:07.672028+00,2020-09-13 06:53:07.672028+00,
43,1600128000,298.9800109863281,2020-09-13 06:53:07.676906+00,2020-09-13 06:53:07.676906+00,
44,1600131600,299.2699890136719,2020-09-13 06:53:07.683201+00,2020-09-13 06:53:07.683201+00,
45,1600135200,299.94000244140625,2020-09-13 06:53:07.690957+00,2020-09-13 06:53:07.690957+00,
46,1600138800,300.7200012207031,2020-09-13 06:53:07.697317+00,2020-09-13 06:53:07.697317+00,
47,1600142400,301.1400146484375,2020-09-13 06:53:07.702386+00,2020-09-13 06:53:07.702386+00,
48,1600146000,301.760009765625,2020-09-13 06:53:07.708704+00,2020-09-13 06:53:07.708704+00,
53,1600182000,297.7799987792969,2020-09-13 16:50:44.98303+00,2020-09-13 16:50:44.98303+00,
